SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
11473,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-09-2025 20:00,32.5
11474,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-09-2025 21:00,2
11475,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 03:00,4
11476,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 04:00,4.5
11477,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 05:00,3
11478,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 07:00,2
11479,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 08:00,1.5
11480,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 19:00,14.5
11481,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 20:00,1
11482,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 22:00,1
11483,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-09-2025 23:00,0.5
11484,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-09-2025 12:00,0.5
11485,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-10-2025 03:00,7.5
11486,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-10-2025 04:00,9
11487,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-10-2025 22:00,15
11488,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-10-2025 23:00,1.5
11489,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 00:00,0.5
11490,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 03:00,0.5
11491,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 08:00,1
11492,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 09:00,10
11493,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 10:00,2.5
11494,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 11:00,1.5
11495,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 12:00,1
11496,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 13:00,0.5
11497,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 14:00,5.5
11498,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-10-2025 16:00,1
11499,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-10-2025 13:00,1
11500,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-10-2025 14:00,2.5
11501,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-10-2025 15:00,0.5
11502,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,23-10-2025 15:00,2
11503,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 08:00,1.5
11504,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 09:00,0.5
11505,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 10:00,1
11506,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 11:00,0.5
11507,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 13:00,1
11508,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 18:00,25
11509,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 19:00,17.5
11510,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 20:00,2
11511,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 21:00,3.5
11512,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,24-10-2025 22:00,0.5
11513,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 06:00,0.5
11514,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 08:00,0.5
11515,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 11:00,2
11516,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 12:00,2.5
11517,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 13:00,2
11518,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 14:00,2
11519,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 15:00,1
11520,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 16:00,2
11521,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,25-10-2025 17:00,1
11522,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 01:00,7
11523,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 02:00,5
11524,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 03:00,0.5
11525,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 07:00,1
11526,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 09:00,5
11527,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 10:00,1.5
11528,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 11:00,1.5
11529,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 14:00,2
11530,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 15:00,1.5
11531,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 16:00,1.5
11532,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 17:00,3
11533,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 22:00,0.5
11534,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,26-10-2025 23:00,0.5
11535,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-10-2025 13:00,0.5
11536,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,27-10-2025 22:00,14.5
11537,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 01:00,0.5
11538,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 03:00,0.5
11539,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 04:00,0.5
11540,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 09:00,0.5
11541,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 10:00,0.5
11542,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 11:00,1
11543,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,28-10-2025 12:00,2.5
11544,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 07:00,2.5
11545,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 13:00,0.5
11546,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 15:00,10
11547,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 16:00,1.5
11548,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 17:00,0.5
11549,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 18:00,0.5
11550,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 20:00,0.5
11551,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 21:00,19.5
11552,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 22:00,6.5
11553,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,29-10-2025 23:00,30.5
11554,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 00:00,6.5
11555,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 01:00,0.5
11556,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 03:00,0.5
11557,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 05:00,14
11558,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 06:00,10.5
11559,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 08:00,0.5
11560,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 10:00,1
11561,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 11:00,0.5
11562,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 12:00,1.5
11563,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 13:00,1
11564,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 14:00,1
11565,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,30-10-2025 16:00,1.5
11566,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,31-10-2025 09:00,1
11567,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,01-11-2025 09:00,0.5
11568,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,01-11-2025 12:00,4
11569,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,01-11-2025 13:00,1
11570,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,01-11-2025 14:00,0.5
11571,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,01-11-2025 15:00,2
11572,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 09:00,1.5
11573,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 10:00,0.5
11574,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 11:00,0.5
11575,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 12:00,0.5
11576,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 14:00,9
11577,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 15:00,1
11578,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 16:00,0.5
11579,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 17:00,0.5
11580,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 19:00,0.5
11581,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,02-11-2025 22:00,0.5
11582,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-11-2025 00:00,2
11583,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-11-2025 01:00,1.5
11584,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-11-2025 02:00,1.5
11585,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-11-2025 03:00,1
11586,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,03-11-2025 14:00,1
11587,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-11-2025 09:00,0.5
11588,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,04-11-2025 14:00,0.5
11589,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-11-2025 09:00,0.5
11590,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-11-2025 12:00,0.5
11591,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,05-11-2025 13:00,0.5
11592,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,06-11-2025 09:00,1
11593,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,06-11-2025 10:00,0.5
11594,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,06-11-2025 12:00,11
11595,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,07-11-2025 09:00,0.5
11596,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,07-11-2025 11:00,2.5
11597,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,07-11-2025 12:00,0.5
11598,Gollavagu_1,Telangana SW,36,Telangana,684,MANCHERIAL,-,-,-,-,-,-,-,-,-,18.86900000,79.67800000,20-12-2025 15:00,210.5
11599,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,17-08-2023 16:00,0.5
11600,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,17-08-2023 17:00,23.5
11601,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,18-08-2023 16:00,2.5
11602,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,19-08-2023 10:00,2
11603,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,19-08-2023 23:00,1
11604,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,20-08-2023 15:00,1
11605,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,22-08-2023 12:00,8
11606,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,02-09-2023 06:00,0.5
11607,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,02-09-2023 22:00,15
11608,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,02-09-2023 23:00,1
11609,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 03:00,1
11610,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 04:00,1
11611,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 05:00,1.5
11612,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 06:00,5.5
11613,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 07:00,5
11614,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,03-09-2023 08:00,1.5
11615,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,04-09-2023 15:00,10
11616,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,04-09-2023 16:00,1
11617,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,05-09-2023 09:00,4.5
11618,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,05-09-2023 10:00,5
11619,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,05-09-2023 11:00,0.5
11620,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,05-09-2023 12:00,13
11621,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,05-09-2023 13:00,0.5
11622,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,09-09-2023 21:00,34
11623,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,09-09-2023 22:00,9
11624,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,09-09-2023 23:00,4.5
11625,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,10-09-2023 00:00,2.5
11626,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,10-09-2023 01:00,1.5
11627,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,10-09-2023 02:00,0.5
11628,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,11-09-2023 01:00,0.5
11629,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,11-09-2023 02:00,0.5
11630,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,11-09-2023 03:00,0.5
11631,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,21-09-2023 02:00,1
11632,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,22-09-2023 01:00,1.5
11633,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,22-09-2023 07:00,0.5
11634,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,25-09-2023 03:00,0.5
11635,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,30-09-2023 17:00,0.5
11636,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,30-09-2023 19:00,0.5
11637,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,01-10-2023 18:00,1
11638,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,02-10-2023 08:00,0.5
11639,Gudipally Gattu reservoir,Telangana SW,36,Telangana,694,NAGARKURNOOL,-,-,-,-,-,-,-,-,-,16.38100000,78.29200000,22-02-2024 15:00,3
