SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm,date,hour
38,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 06:00:00,0.5,2023-12-05,6
39,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 06:00:00,0.5,2023-12-05,6
40,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 07:00:00,0.5,2023-12-05,7
41,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 07:00:00,0.5,2023-12-05,7
42,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 08:00:00,2.0,2023-12-05,8
43,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 09:00:00,2.0,2023-12-05,9
44,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 09:00:00,2.0,2023-12-05,9
45,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 10:00:00,1.5,2023-12-05,10
46,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 10:00:00,1.5,2023-12-05,10
47,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 11:00:00,0.5,2023-12-05,11
48,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 11:00:00,0.5,2023-12-05,11
49,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 12:00:00,2.0,2023-12-05,12
50,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 12:00:00,2.0,2023-12-05,12
51,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 13:00:00,0.5,2023-12-05,13
52,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 13:00:00,0.5,2023-12-05,13
53,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 17:00:00,0.5,2023-12-05,17
54,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 18:00:00,0.5,2023-12-05,18
55,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 18:00:00,0.5,2023-12-05,18
56,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 20:00:00,1.0,2023-12-05,20
57,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 20:00:00,1.0,2023-12-05,20
58,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 21:00:00,1.0,2023-12-05,21
59,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 21:00:00,1.0,2023-12-05,21
60,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 03:00:00,0.5,2023-12-06,3
61,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 03:00:00,0.5,2023-12-06,3
62,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 04:00:00,1.5,2023-12-06,4
63,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 04:00:00,1.5,2023-12-06,4
64,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-04-25 19:00:00,0.5,2024-04-25,19
65,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-05 20:00:00,2.5,2024-05-05,20
66,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-07 20:00:00,18.5,2024-05-07,20
67,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-07 21:00:00,11.0,2024-05-07,21
68,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-07 22:00:00,2.0,2024-05-07,22
69,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-07 23:00:00,0.5,2024-05-07,23
70,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-08 01:00:00,0.5,2024-05-08,1
71,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-08 03:00:00,1.5,2024-05-08,3
72,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-08 04:00:00,7.0,2024-05-08,4
73,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-08 05:00:00,1.0,2024-05-08,5
74,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-08 06:00:00,0.5,2024-05-08,6
75,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-16 22:00:00,11.5,2024-05-16,22
76,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-16 23:00:00,14.0,2024-05-16,23
77,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-17 00:00:00,1.0,2024-05-17,0
78,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-17 03:00:00,0.5,2024-05-17,3
79,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-18 15:00:00,0.5,2024-05-18,15
80,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-18 15:00:00,0.5,2024-05-18,15
81,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-18 16:00:00,0.5,2024-05-18,16
82,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-18 16:00:00,0.5,2024-05-18,16
83,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-26 16:00:00,7.5,2024-05-26,16
84,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-26 16:00:00,7.5,2024-05-26,16
85,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-05-26 17:00:00,23.0,2024-05-26,17
86,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 00:00:00,33.0,2024-06-03,0
87,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 00:00:00,33.0,2024-06-03,0
88,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 01:00:00,44.0,2024-06-03,1
89,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 01:00:00,44.0,2024-06-03,1
90,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 02:00:00,2.5,2024-06-03,2
91,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 03:00:00,3.5,2024-06-03,3
92,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 03:00:00,3.5,2024-06-03,3
93,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 04:00:00,2.5,2024-06-03,4
94,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 04:00:00,2.5,2024-06-03,4
95,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 07:00:00,0.5,2024-06-03,7
96,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-03 07:00:00,0.5,2024-06-03,7
97,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-05 02:00:00,0.5,2024-06-05,2
98,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-05 03:00:00,0.5,2024-06-05,3
99,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-05 21:00:00,10.5,2024-06-05,21
100,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-05 22:00:00,12.5,2024-06-05,22
101,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 01:00:00,0.5,2024-06-06,1
102,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 03:00:00,14.5,2024-06-06,3
103,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 04:00:00,8.0,2024-06-06,4
104,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 05:00:00,4.5,2024-06-06,5
105,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 05:00:00,4.5,2024-06-06,5
106,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 06:00:00,3.5,2024-06-06,6
107,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 06:00:00,3.5,2024-06-06,6
108,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 07:00:00,2.0,2024-06-06,7
109,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 07:00:00,2.0,2024-06-06,7
110,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 11:00:00,0.5,2024-06-06,11
111,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-06 11:00:00,0.5,2024-06-06,11
112,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-07 01:00:00,2.5,2024-06-07,1
113,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-07 01:00:00,2.5,2024-06-07,1
114,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-07 02:00:00,3.0,2024-06-07,2
115,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 20:00:00,28.0,2024-06-08,20
116,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 20:00:00,28.0,2024-06-08,20
117,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 21:00:00,9.5,2024-06-08,21
118,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 21:00:00,9.5,2024-06-08,21
119,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 22:00:00,0.5,2024-06-08,22
120,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-08 22:00:00,0.5,2024-06-08,22
121,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-10 14:00:00,3.0,2024-06-10,14
122,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 13:00:00,1.0,2024-06-11,13
123,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 13:00:00,1.0,2024-06-11,13
124,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 14:00:00,16.5,2024-06-11,14
125,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 14:00:00,16.5,2024-06-11,14
126,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 15:00:00,4.5,2024-06-11,15
127,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-11 15:00:00,4.5,2024-06-11,15
128,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-12 23:00:00,0.5,2024-06-12,23
129,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-12 23:00:00,0.5,2024-06-12,23
130,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-13 02:00:00,0.5,2024-06-13,2
131,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-27 08:00:00,0.5,2024-06-27,8
132,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-27 11:00:00,0.5,2024-06-27,11
133,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-28 03:00:00,0.5,2024-06-28,3
134,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-28 04:00:00,0.5,2024-06-28,4
135,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-06-28 13:00:00,0.5,2024-06-28,13
136,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 10:00:00,18.0,2024-07-06,10
137,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 13:00:00,0.5,2024-07-06,13
138,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 13:00:00,0.5,2024-07-06,13
139,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 14:00:00,0.5,2024-07-06,14
140,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 14:00:00,0.5,2024-07-06,14
141,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 17:00:00,0.5,2024-07-06,17
142,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 17:00:00,0.5,2024-07-06,17
143,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-06 22:00:00,0.5,2024-07-06,22
144,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-07 00:00:00,0.5,2024-07-07,0
145,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-07 02:00:00,0.5,2024-07-07,2
146,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-07 05:00:00,0.5,2024-07-07,5
147,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-07 05:00:00,0.5,2024-07-07,5
148,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-07 08:00:00,0.5,2024-07-07,8
149,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-08 01:00:00,256.0,2024-07-08,1
150,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 01:00:00,0.5,2024-07-10,1
151,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 02:00:00,1.0,2024-07-10,2
152,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 02:00:00,1.0,2024-07-10,2
153,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 03:00:00,0.5,2024-07-10,3
154,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 03:00:00,144.5,2024-07-10,3
155,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 05:00:00,39.0,2024-07-10,5
156,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 06:00:00,221.0,2024-07-10,6
157,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-10 19:00:00,128.0,2024-07-10,19
158,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-11 00:00:00,32.5,2024-07-11,0
159,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-13 10:00:00,54.0,2024-07-13,10
160,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-13 22:00:00,195.0,2024-07-13,22
161,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-14 09:00:00,33.0,2024-07-14,9
162,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-15 16:00:00,0.5,2024-07-15,16
163,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-15 16:00:00,0.5,2024-07-15,16
164,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-17 01:00:00,0.5,2024-07-17,1
165,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-17 01:00:00,0.5,2024-07-17,1
166,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-17 05:00:00,14.5,2024-07-17,5
167,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-17 18:00:00,159.0,2024-07-17,18
168,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-07-18 19:00:00,0.5,2024-07-18,19
