SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
34,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,19-06-2025 19:00,0.5
35,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-06-2025 08:00,0.5
36,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,26-06-2025 10:00,0.5
37,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,27-06-2025 09:00,0.5
38,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,28-06-2025 15:00,0.5
39,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,29-06-2025 19:00,0.5
40,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-07-2025 04:00,0.5
41,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,02-07-2025 07:00,0.5
42,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,03-07-2025 08:00,0.5
43,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-07-2025 09:00,0.5
44,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-07-2025 11:00,0.5
45,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,07-07-2025 19:00,0.5
46,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,09-07-2025 10:00,0.5
47,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,09-07-2025 10:00,0.5
